Number of Followers,Location,Screen Name,Tweet,
36,,wryyyctoria,"b'RT @deJessias: @iDKHOW @Fender Apparently I may not enter to win the Jazzmaster guitar used in the music video for ""Leave Me Alone"" https:/\xe2\x80\xa6'",
665618,www.instagram.com/fender,Fender,"b""@domifrancon Sounds like you're making awesome progress, Dominique!  We're rooting for you! \xf0\x9f\xa4\x98\xf0\x9f\x8e\xb8""",
726,KPAX Official Twitter ✔,theAlexNights,b'Music is still my shelter \n\xe2\x9d\xa4\xef\xb8\x8f #loveguitars #fender #me #music #musician #photography #rock #pop https://t.co/UKuUSjELZs',
32,"Cambridge, England",NickHindle3,"b'@RobbieCumming Already watched it before I got this tweet \xf0\x9f\x98\x80 Great to see you back Robbie, and with a luvly Fender Precision bass \xf0\x9f\x91\x8d\xf0\x9f\x98\x81'",
1,,smdus1969,b'RT @eddievanhalen: Having fun making animal noises on my new Wolfgang USA Signature Guitars. #guitar #evhgear #Wolfgang #vanhalen #EddieVan\xe2\x80\xa6',
151,hawaii,sycophantictea,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
4898,"Northampton, MA",Roxywells3,b'RT @danpotter31: Next Up #DPhappyhour\n\n@Cheekboneband1 with Stranger \n\nClassic jangly guitars!!! @Fender sounding????',
6,she / her,llamatazz,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
6,she / her,llamatazz,b'@iDKHOW @Fender if i  win it i will pass away',
4302,"Liverpool, England",oilinmyeyes,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
57,,sksfenders,b'Double protection for fall - guard against puddles &amp, add light up protection for those dark evenings and mornings w\xe2\x80\xa6 https://t.co/7LCpcGaxJj'
3670,"Birmingham, England",lisaplaysguitar,"b'RT @ChicagoMusicEx: For a @Fender that fits you, like this used Custom Shop \xe2\x80\x9850s Telecaster or brand new Limited Edition Desert Sand Strato\xe2\x80\xa6'",
7158,,JeepWranglerOut,b'Tidal Tubular Front Fender Flare Rocker Guard with Eagle Light Fit for 97-06 Wrangler\xc2\xa0TJ https://t.co/fpXxW5u6dx',
76,,JeremyBurnham3,b'Playing a classic Freddie Fender song for Hispanic Heritage Month so be shared with staff and students of Proviso E\xe2\x80\xa6 https://t.co/Q8JDPwpAa6',
163,"North West, England",greasyfender,"b""If my Sam Fender concert gets cancelled, I'm \xe2\x9c\xa8 cancelling \xe2\x9c\xa8 my life. https://t.co/fwzfplGKBz""",
17,,fox_fender,b'@Rose_Was_Taken Same here :(',
362,w dj 💘,bricronkhite,b'just ordered my new fender &amp, bumper  \xf0\x9f\xa4\xa9'
354,The 2000s,TopShopPrince,b'10 favourite bands/artists\n\n1. Queens of the Stone Age\n2. Arctic Monkeys\n3. Royal Blood\n4. Muse\n5. Sam Fender\n6. Fr\xe2\x80\xa6 https://t.co/bC96r3GNmo',
665618,www.instagram.com/fender,Fender,"b""@therealgodcloud We're rooting for you! \xf0\x9f\x8e\xb8\xf0\x9f\xa4\x98""",
181,,IDunnoHalp2,"b'RT @deJessias: @iDKHOW @Fender Apparently I may not enter to win the Jazzmaster guitar used in the music video for ""Leave Me Alone"" https:/\xe2\x80\xa6'",
8771,"Ontario, Canada 🇨🇦",KeitherKeith,b'@cat_fender @JaneFallon @myleftfang Don\xe2\x80\x99t jinx it - she hasn\xe2\x80\x99t accepted me yet.  \xf0\x9f\x98\xbb',
359,Italy,stefanofago,b'Player Mustang Bass PJ | Player Series | Fender https://t.co/UnkV1QG5JF via @YouTube  ...what a beautiful baby!...',
71,,tamitlittle,"b'RT @jesselittle97: Thank you everyone who donated to @shrinershosp over the last six weeks.  We\xe2\x80\x99ve raised over $24,000!! I\xe2\x80\x99m so thankful to\xe2\x80\xa6'",
75,,Kirk_on_Fender,"b""@LuxmooreS @BarristerSecret It's good, you'll enjoy it.""",
61,,deal_fender,"b""Isn't it cool? https://t.co/hlIRTqGSAn""",
23,,jason_j1a1s1on,b'@kanyewest Hey any chance you wanna buy me a fender stratocaster??? The Olympic white jeff beck model or the hendrix model would be sweet.',
856,𝐖𝐚𝐥𝐥𝐬 ✰,gldenxstyless,"b'RT @iDKHOW: We here at iDKHOW would like to thank you for listening. Through the link below, you may enter to win the @Fender Jazzmaster gu\xe2\x80\xa6'",
1660,,SurfRockRadio,b'#nowPlaying on Surf Rock Radio: Scorpions [1bv] by Crazy Aces! Listen live on https://t.co/7PJjXKxOwv\xe2\x80\xa6 https://t.co/ZT2XG21XDv',
491,,tabora_bernardo,b'RT @SurfRockRadio: #nowPlaying on Surf Rock Radio: Caught In The Undertow [1RY] by V.A. - The Retroliners! Listen live on https://t.co/7PJj\xe2\x80\xa6',
491,,tabora_bernardo,b'RT @SurfRockRadio: #nowPlaying on Surf Rock Radio: The Fun Guy from Yuggoth [2A5] by Beachmasters of the Universe! Listen live on https://t\xe2\x80\xa6',
491,,tabora_bernardo,b'RT @SurfRockRadio: #nowPlaying on Surf Rock Radio: Riders In The Mountains [1lT] by The Silicon! Listen live on https://t.co/7PJjXKxOwv #su\xe2\x80\xa6',
491,,tabora_bernardo,b'RT @SurfRockRadio: #nowPlaying on Surf Rock Radio: Five [2rW] by Surferific Dudes - Hi! Listen live on https://t.co/7PJjXKxOwv #surfrockrad\xe2\x80\xa6',
