Number of Followers,Location,Screen Name,Tweet,
1311,U.S.A ,OnALakeUSA,b'@AyeYoItsKayGee @pajamapartybob @YaGalAlexis Hmm I wonder if Mel Gibson murdered anyone lately',
289,Ottawa,no_worriezz,b'Lol @ Mel Gibson still getting movie roles. Fuck that guy.',
301,"Azusa, CA at hoopers",CFlexen,b'@FantasyAdvice99 Gibson or slayton and should I start dalton schultz',
43,"Boulder, CO",PicklesInSpace,b'RT @AQueerPanda: @HKSurrey They looked for someone with a sufficiently large beard and sufficiently few fucks given and landed square on Gi\xe2\x80\xa6',
800,Finger over the block button,textualdeviance,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
2772,Ashburn Virginia,RichKelsey,b'Bob Gibson is rolling over in his grave with these showboats hitting these juiced balls. https://t.co/pRWZZJkwZg',
89,,wj_gibson,b'@JediLive @onlytruthhere @realDonaldTrump He also said he\xe2\x80\x99d build a wall. And make Mexico pay for it.',
20709,"Orlando, FL",KCJoynerTFS,b'@therealFabii Got Gordon with the slightest of grading edges over Gibson.',
820,16 | she/her | BLM,mackanolans,b'i saw mel gibson was trending and i thought something happened to him and i nearly broke down https://t.co/it2XnlhImu',
3339,,makokaazo,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
356,,toxxicpill,"b""RT @davidgross_man: kinda sucks that mel gibson can trade on his 80s reputation for camp skipping over the fact that he's a deranged anti-s\xe2\x80\xa6""",
356,,toxxicpill,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
103,,codyearley,b'https://t.co/lCiReUiWtY.          @NotJackKemp have y\xe2\x80\x99all discussed this new Mel Gibson movie yet.',
2110,"Bronx, NY",CrazyEddyBee,b'RT @YaGalAlexis: The fact that Mel Gibson still gets work is proof that there isn\xe2\x80\x99t any kind of \xe2\x80\x9cwoke liberal agenda\xe2\x80\x9d in Hollywood.',
253,"Brighton, MA",jrod_1011,"b'RT @BrandonLBradfor: This is the ""Jews run everything I hope you get gang raped"" Mel Gibson who is still getting movie roles, right?\n\nCance\xe2\x80\xa6'",
5091,"Seattle, WA",seankreynolds,b'RT @YaGalAlexis: The fact that Mel Gibson still gets work is proof that there isn\xe2\x80\x99t any kind of \xe2\x80\x9cwoke liberal agenda\xe2\x80\x9d in Hollywood.',
6845,"Richmond, VA, USA",notreallyjcm,b'I don\xe2\x80\x99t care that it\xe2\x80\x99s Mel Gibson, none of you can stop me from getting drunk and watching this'
