Number of Followers,Location,Screen Name,Tweet,
52,The diaspora,SacKingsBooster,b'realistic picks for the Kings:\n#12- Jalen Smith/ Tyrese Maxey\n#35- Malachai Flynn/ Xavier Tillman\n#43- Paul Reed/ C\xe2\x80\xa6 https://t.co/rqvbnutNTf',
803,159 km2,lord_prefab,"b'@madridjim @DougieLockhart @nancysquinn Al de Meola told Paul Reed Smith in an interview in July, that the tapes of\xe2\x80\xa6 https://t.co/RqX4ok6V5M'",
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmQDC0 #guitars #amps\nhttps://t.co/ZlOi3rjJib',
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmz2dq #guitars #amps\nhttps://t.co/xMvgmvzsID',
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmQDC0 #guitars #amps\nhttps://t.co/iOsIxCiQk9',
18,Australia,JimMiovski,b'RT @PRSGuitarsEuro: RIP Eddie Van Halen \n\n\xe2\x80\x9c...we were lucky to have a musician of his caliber and power as part of the guitar industry\xe2\x80\x9d - P\xe2\x80\xa6',
1239,"Los Angeles, CA",jimstewartson,b'@prisoner646 @TricksterJules Aww yeah. Nice stickers :) My main is a pretty rare Paul Reed Smith bass from the 80s\xe2\x80\xa6 https://t.co/s7Go65cnUK',
7036,,PRSGuitarsEuro,b'RIP Eddie Van Halen \n\n\xe2\x80\x9c...we were lucky to have a musician of his caliber and power as part of the guitar industry\xe2\x80\x9d\xe2\x80\xa6 https://t.co/yeC1fVNMvF',
974,,bot_gear,b'Orianthi with paul reed smith custom22 https://t.co/1dcNe6x0EP',
1746,Los Angeles ,MusicNazo,b'RT @guitar: Learn from the master himself.\nhttps://t.co/rbZk1Dxmw5',
8080,North Carolina,SportsChannel8,"b'RT @BuzzBeatPod: Because we got prospect-happy, we will be releasing \xf0\x9d\x99\x8f\xf0\x9d\x99\x92\xf0\x9d\x99\x8a episodes this week.\n\n\xf0\x9d\x99\x8f\xf0\x9d\x99\xa4\xf0\x9d\x99\xa2\xf0\x9d\x99\xa4\xf0\x9d\x99\xa7\xf0\x9d\x99\xa7\xf0\x9d\x99\xa4\xf0\x9d\x99\xac: Xavier Tillman, Killian Tillie, Isa\xe2\x80\xa6'",
188,Home,Kief_W,"b'RT @BuzzBeatPod: Because we got prospect-happy, we will be releasing \xf0\x9d\x99\x8f\xf0\x9d\x99\x92\xf0\x9d\x99\x8a episodes this week.\n\n\xf0\x9d\x99\x8f\xf0\x9d\x99\xa4\xf0\x9d\x99\xa2\xf0\x9d\x99\xa4\xf0\x9d\x99\xa7\xf0\x9d\x99\xa7\xf0\x9d\x99\xa4\xf0\x9d\x99\xac: Xavier Tillman, Killian Tillie, Isa\xe2\x80\xa6'",
1049,"Charlotte, NC",BuzzBeatPod,"b'Because we got prospect-happy, we will be releasing \xf0\x9d\x99\x8f\xf0\x9d\x99\x92\xf0\x9d\x99\x8a episodes this week.\n\n\xf0\x9d\x99\x8f\xf0\x9d\x99\xa4\xf0\x9d\x99\xa2\xf0\x9d\x99\xa4\xf0\x9d\x99\xa7\xf0\x9d\x99\xa7\xf0\x9d\x99\xa4\xf0\x9d\x99\xac: Xavier Tillman, Killian Till\xe2\x80\xa6 https://t.co/OY2B1xz5qP'",
154,,jcluna78,b'RT @guitar: Learn from the master himself.\nhttps://t.co/rbZk1Dxmw5',
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmQDC0 #guitars #amps\nhttps://t.co/MuIyZadvsZ',
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmQDC0 #guitars #amps\nhttps://t.co/9g8aPXgTVK',
5880,,guitar,b'Learn from the master himself.\nhttps://t.co/rbZk1Dxmw5',
63,"Ellicott City, MD",DigitalHarmonic,b'Our very own Mason Baron and Paul Reed Smith will be speaking at @zoom_us\xe2\x80\x99s user conference #Zoomtopia on October 1\xe2\x80\xa6 https://t.co/eARM8C7Tmb',
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmQDC0 #guitars #amps\nhttps://t.co/XqWNy5GKUl',
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmQDC0 #guitars #amps\nhttps://t.co/FlXO6Z3Be2',
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmQDC0 #guitars #amps\nhttps://t.co/zho8XxsxM4',
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmQDC0 #guitars #amps\nhttps://t.co/zZOjXMHT0u',
373,珊瑚礁,natsuzakishrimp,b'Paul Reed Smith',
596,IP,15__simba,b'@sixringsofsteeI Desmond Bane and/or Jalen Smith/Paul Reed',
80,"Bedford, NH 03110",GuitarVaultUSA,b'A GUITAR BUILDING MASTERCLASS WITH PAUL REED SMITH hosted by https://t.co/SGyOoAdYcj\n\nhttps://t.co/KWJrRvCO45 https://t.co/VFVdbPBPV6',
