ReviewID,Review Rating,Reviews
1,5 star rating,"I was arguing with someone over which NYC restaurant had the best xiaolongbao (soup dumplings)--my vote was for The Bao/Kung Fu Xiao Long Bao (two sister restaurants), but I have to say, Shanghai 21's xiaolongbao are preeeetty comparable.If you love less meat / thin dumpling skin / fair portion of soup in your xiaolongbao, then you have to try them here! I ordered the pork ones (6pc), the steamed watercress &amp; shrimp dumplings (4pc), and the mapo tofu ""Modern Peking Style Sauteed Tofu."" All three dishes were amazing, and the tofu was great over a side of white rice. In terms of how they're handling health and safety measures, they have a handful of tables along the sidewalk that are each separated by a plexiglass divider. The utensils are all plastic (chopsticks are wooden of course), and the dishes aside from the dumplings come in takeout containers. They also served tea in a metal teapot but gave us paper cups. I'd def recommend if you're in the area!"
2,5 star rating,"First time back since they transformed Mott Street with outdoor dining space (through a city initiative called DineOut NYC). Same delicious food with all the necessary cleaning and distance precautions. Shanghai 21 has 3-4 tables all physically spaced and separated by clear plastic partitions. The outdoor street dining is separated from the cars by cute planters and far enough removed from sidewalk foot traffic that it feels comfortable. Everything is served in take-out containers (with the exception of the xiao long bao and steamed dumplings, which come in their usual bamboo steam trays) and you're provided disposable plates and utensils. The server is constantly sanitizing everything, including their hands. They also have takeout."
3,5 star rating,"KEY COVID TAKEAWAYS:- Each server is wearing a mask- Hand Sanitizer station available- Each chair and table is properly cleaned before seating the next guest.- Plastic Dividers between each table-Most of the food is served in take-out containers- Disposable utensils I came here for the first time Post-COVID and honestly, the experience was still just as amazing as I remembered. I always order soup dumplings and shanghai style lo-mein with pork. I also decided to try out the pork buns. I don't know how to give this place the praise it rightfully deserves. It's so surprising how even as we are forced to dine outdoors only, the food is still served so fresh and piping hot, which is how soup dumplings should be enjoyed. The soup dumplings have such an explosion of flavor and are stuffed with generous amounts of pork as well. Make sure to ask for chili oil and soy sauce, as they do not leave the sauce containers out anymore, for proper measures. Also, make sure to try and avoid peak dinner times, as there aren't many seats available and you will have to wait a longer time than usual"
4,5 star rating,BEST SOUP DUMPLINGS IN NYC!!!! I've had my fair share of  soup dumplings and by far the best. Also they have a great selection of food as well. Please try the Kung Pão Chicken amazing flavor and some heat!! Tip: they serve family portions so a little goes a long way!!!
5,4 star rating,"This place has yummy no-frills Shanghainese cuisine that is at least somewhat authentic, going by the soup dumplings. The soup dumplings were delicious with thin skins that did not rupture until we bit into them, and the familiar delicate meatiness of the filling and soup. I find the skin to be particularly difficult to nail, and commend them for this. The zhajiangmian was very tasty (I prefer the Chinese version and find it to taste more refreshing and healthy, but my (Korean) boyfriend disagrees lol). The kung pao chicken was very tender and slightly spicy, with plenty of fresh peppers. The eggplant was kind of bland and I didn't see any minced pork that we asked for, but we needed that healthy veggie dish. I find that I prefer eggplant when it is grilled in foil, but not all places do this so I shouldn't have expected it. Prices are a little steep for what you get, but this is NYC. Service is prompt, and the setting is very hygienic, with everything served in disposable containers and utensils. The bathroom is very clean as well."
6,5 star rating,"Wow! This is for dine in only. Just come and eat here, you won't regret it. Some of the best Chinese food I've had in New York! This will be one of my go to spots. I wasn't even able to take proper photos because the food was so good I immediately started eating. They have maybe 6 or so outdoor tables and indoor dining open. Everything felt clean and all servers were properly wearing masks. All food comes in to go containers and meal comes with hot tea. FYI, if you order alcohol you have to pay in cash before they bring it to you. My order is below--Crab and pork soup dumplings: very good, but I like Noodle Villages more. -Pork soup dumplings: a must! Some of the best I've had aside from Din Tai Fung. -House special fried pork chop: the best thing we ordered. A little greasy, but sooooo good. -Spicy wontons: tasty, but the soup dumplings are way better. -Green beans: way better than I was excepting. Super flavorful. -Lo mein with chicken: comes with bok choy and other veggies. Good if you're craving some noodles."
7,2 star rating,"They used to serve good soup dumplings...Came here during quarantine to support local chinese business. I only love to eat soup dumpling when it's right out of the kitchen, so I even just wait there for 15 min so I can eat when it's the freshest.However, two order of soup dumplings, both were lukewarm when I ate it in the car right out of kitchen, skin was thick (used to be thin), but half of them were broken already, and as I ate, all of them broke. Meat filling and flavor doesn't taste fresh. It tasted like microwave food but yet didn't microwave thoroughly. There were a unpleasant after taste of it remains and sort of gross me out the rest of the day.I was so excited to have soup dumplings, sad."
8,5 star rating,"Have dined here multiple times pre-COVID. Typically order a few orders of the pork soup dumplings and one order of the pork &amp; crabmeat soup dumplings, wontons in chili oil, watercress with enoki mushrooms, mapo tofu and a stir fry noodle dish. At times, we have ordered scallion pancakes and other buns (the fluffy bao ones). Service is attentive and quick. Wait times very during peak hours. Does not accept reservations so would plan to go early/off-peak.Outdoor dining for COVID. Very nice staff. Would recommend for quality soup dumplings (fan of the delicate skin!)"
9,4 star rating,"If in search of soup dumplings, I would recommend this spot for their black truffle one. It's a unique burst of flavor. Otherwise, the standard pork soup dumplings and Kung Pao chicken we tried were tasty, but obviously not unique to this restaurant.I definitely plan on returning for the black truffle soup dumplings. Everything if very fair priced as well.After I second visit, I should add that even the entreés here are delicious. The tangerine beef, in particular, is perfectly crisp with just enough hint of citrus. I highly recommend this restaurant. To clarify, this is Shanghai 21 on Mott St. There is another restaurant with a similar name in the area.This was an excellent spot for a group outing- super affordable with a generous portions and no lack of options."
10,5 star rating,"So glad to see our favorite dim sum place open for outdoor dining. There are only a few tables so get here early!!! The food is every bit as good though I am missing the ability to get chili sauce at my whim. All the dishes are served in single serve containers except the steamed stuff and you are safely cordoned off by plexi glass barriers. I must've missed the ownership change but they take cards other than discover and Amex now. Mm can't wait to come back. Our go tos are crab xlb, spicy Szechuan wontons, shrimp dumplings, bamboo shoots and pan fried pork buns. I wish they would serve or let us bring beers :)"
